EXP 1														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
37	10566.8	0.89302	2.02532	1.07045	0.88126	0.90987	0.94443	0.77544	0.77857	1.52151	1.19695	0.000189475	0.000189475	0.000189475
38	10853.3	0.89174	1.9945	1.06919	0.88723	0.90041	0.94001	0.77779	0.76198	1.56066	1.17769	0.000166149	0.000166149	0.000166149
39	11142.1	0.88622	1.96797	1.05929	0.88902	0.89176	0.93933	0.77705	0.76986	1.5996	1.18492	0.000144161	0.000144161	0.000144161
40	11427.9	0.8741	1.92074	1.06258	0.90845	0.8938	0.94263	0.79385	0.69719	1.46359	1.12108	0.000123596	0.000123596	0.000123596
41	11727.7	0.75182	1.52907	1.04555	0.85485	0.92837	0.94416	0.79035	0.71785	1.44537	1.13071	0.000104537	0.000104537	0.000104537
42	12012	0.73451	1.45893	1.03502	0.90003	0.90946	0.93975	0.78016	0.72653	1.42165	1.13523	8.71E-05	8.71E-05	8.71E-05
43	12296.1	0.72764	1.44139	1.03772	0.87764	0.93026	0.9493	0.79341	0.70661	1.36426	1.12844	7.12E-05	7.12E-05	7.12E-05
44	12576.2	0.71504	1.39866	1.02626	0.90238	0.91581	0.94977	0.79414	0.70466	1.34805	1.12	5.71E-05	5.71E-05	5.71E-05
45	12847.8	0.71699	1.38258	1.02704	0.90323	0.91259	0.95019	0.80189	0.68118	1.33265	1.09957	4.48E-05	4.48E-05	4.48E-05
46	13125.8	0.7045	1.35715	1.02452	0.9083	0.90827	0.94361	0.79612	0.68108	1.29521	1.09944	3.42E-05	3.42E-05	3.42E-05
47	13377.1	0.70761	1.34854	1.01788	0.90407	0.9122	0.94646	0.79996	0.67398	1.28928	1.09657	2.56E-05	2.56E-05	2.56E-05
48	13620.3	0.69884	1.33589	1.01991	0.90966	0.9098	0.9435	0.80144	0.67203	1.27831	1.09414	1.88E-05	1.88E-05	1.88E-05
49	13862.6	0.69296	1.30746	1.01264	0.90949	0.91265	0.94687	0.79993	0.65977	1.27303	1.08619	1.39E-05	1.39E-05	1.39E-05
50	14105.2	0.69004	1.30163	1.01333	0.91084	0.91502	0.95061	0.80648	0.66336	1.25511	1.08761	1.10E-05	1.10E-05	1.10E-05
														
EXP 3														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
1	292.514	2.62706	12.1341	2.22154	0.38302	0.19244	0.12328	0.06559	1.99514	13.5866	2.2164	0.0670405	0.000332924	0.000332924
2	584.463	1.78139	7.92839	1.60616	0.54806	0.24095	0.27929	0.18376	1.49022	7.89803	1.81291	0.0340401	0.000665805	0.000665805
3	871.795	1.63039	6.55278	1.4778	0.50516	0.35601	0.35158	0.20581	1.46075	6.69843	1.73937	0.00103783	0.00099688	0.00099688
4	1147.96	1.5042	5.83423	1.4084	0.56825	0.45507	0.54594	0.35615	1.35764	4.70454	1.63667	0.000993906	0.000993906	0.000993906
5	1429.39	1.43774	5.2454	1.36935	0.63172	0.51496	0.59909	0.39136	1.30215	4.26899	1.62327	0.000989183	0.000989183	0.000989183
6	1712.41	1.38821	4.76283	1.3324	0.68256	0.56454	0.64788	0.44909	1.25659	4.06423	1.55645	0.000983133	0.000983133	0.000983133
7	2000.85	1.36582	4.46193	1.3182	0.61268	0.64147	0.691	0.47427	1.25862	3.84647	1.55825	0.000975773	0.000975773	0.000975773
8	2289.53	1.32868	4.16774	1.30392	0.68377	0.6423	0.73276	0.5307	1.13974	3.61619	1.51567	0.000967122	0.000967122	0.000967122
9	2573.1	1.29879	3.96402	1.28243	0.66784	0.68385	0.74608	0.55416	1.04553	3.21935	1.39708	0.000957205	0.000957205	0.000957205
10	2858.95	1.27534	3.78882	1.27459	0.72657	0.67187	0.7743	0.57214	1.14189	3.1762	1.50871	0.000946048	0.000946048	0.000946048
11	3148.89	1.25953	3.67954	1.26465	0.70716	0.72797	0.77219	0.56104	1.1449	3.2418	1.53354	0.000933683	0.000933683	0.000933683
12	3432.31	1.24447	3.52963	1.25393	0.69868	0.72953	0.78609	0.58015	1.02975	3.57912	1.4289	0.000920142	0.000920142	0.000920142
